以色列航空1862號班機空難,1992年10月4日,,3,,波音747-258F
巴拿馬航空201號班機空難,1992年7月6日,0,7,,波音737-204
巴基斯坦國際航空268號班機空難,1992年9月28日,0,,,空客A300
中國通用航空2755號班機空難,1992年7月31日,19,10,,波音727
阿根廷航空386號班機食物中毒事件,1992年2月14日,75,20,,波音747-287B
泰國國際航空311號班機空難,1992年7月31日,0,14,,
1992年欧共体监测直升机击落事件,1992年1月7日,,,,
利比亞阿拉伯航空1103號班機空難,1992年12月22日,2,,,波音727
全美航空405号班机空难,2017年3月22日,21,4,,麦道-80
因特航空148號班機空難,1992年1月20日,6,,,空中客车A320-111
環球航空843號班機事故,1992年7月30日,10,12,,
中国南方航空3943号班机空难,1992年11月24日,8,,,波音737-3Y0
馬丁航空495號班機空難,1992年12月21日,106,13,,
1993年加彭空難,2013年6月23日,,,,
哥倫比亞社會航空501號班機空難,2013年10月20日,0,7,,波音727Accident
中華航空605號班機事故,1993年11月4日,23,22,,波音747-409
1993年德黑蘭空中相撞事件,2013年10月20日,,,,
中國北方航空6901號班機空難,1993年11月13日,60,10,,波音757-200
馬其頓進出口航空110號班機空難,1993年11月20日,0,8,,
中国东方航空583号班机事故,2012年7月13日,20,,,麦道MD-11
遠東航空116號班機事故,1993年10月25日,9,8,,
中國西北航空2119號班機空難,1993年7月23日,5,,58,
韓亞航空733號班機空難,1993年7月26日,6,,,波音737-5L9
中國東方航空5398號班機空難,1993年10月26日,10,9,,空中客车A320
法國航空8969號班機劫機事件,1994年12月24日,22,12,,空中客车A300
全美航空427號班機空難,1994年9月8日,37,5,,空中客车129
菲律賓航空434號班機爆炸事件,2015年12月12日,10,20,,空中客车129
空中客车129号班机空难,1994年6月30日,3,,,空中客车129
中華航空140號班機空難,1994年4月26日,15,,7,空中客车A321
中國西北航空2303號班機空難,1976年6月6日,0,14,,空中客车129
全美航空1016号班机空难,2018年1月13日,,5,,空中客车129
俄羅斯航空593號班機空難,2017年4月11日,0,12,,空中客车129
美鷹航空4184號班機空難,1994年10月31日,0,4,,空中客车129
聯邦快遞705號班機劫機事件,1994年4月7日,4,3,,空中客车129
美國航空965號班機空難,1995年12月20日,4,8,4,波音757
全日空857號班機劫機事件,1995年6月21日,1,,,波音747-181SR
布里斯托航空56C號班機事故,1995年1月19日,0,2,,
馬來西亞航空2133號班機空難,1995年9月15日,19,4,,
大西洋東南航空529號班機空難,1995年8月21日,20,3,,
哈巴羅夫斯克聯合航空3949號班機空難,1995年12月6日,0,8,,
伯根航空301號班機空難,1996年2月6日,0,9,,波音757-225
联航快运5925号班机空难,1996年11月19日,,,,
美國空軍IFO21號班機空難,1996年4月3日,0,6,,波音CT-43
埃塞俄比亞航空961號班機空難,1996年11月23日,73,12,6,波音767-260ER
達美航空1288號班機事故,2015年1月15日,2,5,,麦道MD-88
環球航空800號班機空難,1996年7月17日,0,18,,波音707
東風航空517號班機事故,2017年12月21日,1,5,,波音737-2H5
恰尔基达德里撞机事件,1996年11月12日,,,,波音747-100B
瓦盧杰航空592號班機空難,1996年5月11日,5,,,波音717
秘魯航空603號班機空難,2018年6月11日,189,9,4,波音757-23A
加魯達航空865號班機空難,1996年6月13日,108,15,,
尼日利亞航空發展86號班機空難,1996年11月7日,,,,波音727
1996年金沙薩An-32墜機事件,1996年1月8日,,6,,
巴西天馬航空402號班機空難,1996年10月31日,99,5,,
勝安航空185號班機空難,2018年8月19日,0,7,,波音737-36N
越南國家航空815號班機空難,1997年9月3日,6,,,
遠東航空128號班機劫機事件,2010年11月23日,0,8,,波音757-2Q8
日本航空706號班機事故,1997年6月8日,14,11,,
加魯達航空152號班機空難,1997年9月26日,0,12,,
阿根廷南方航空2553號班機空難,1997年10月10日,0,5,,麦道DC-9-32
國華航空7601號班機空難,1997年8月10日,16,,,
聯邦快遞14號班機事故,1997年7月31日,5,2,,
約翰·丹佛,2015年8月12日,,,,
聯合航空826號班機事故,1997年12月28日,102,19,,波音747-122
中國南方航空3456號班機空難,2015年9月12日,9,,,空客A320
大韓航空801號班機空難,1997年8月6日,26,17,,波音747-3B5
法國航空422號班機空難,1998年4月20日,0,10,,波音727-230
缅甸航空635号班机空难,2016年5月7日,2,,,
中華航空676號班機空難,1998年2月16日,202,,,空客A300
中國國際航空905號班機劫機事件,1998年10月28日,0,9,,波音737
中國東方航空586號班機事故,1998年9月10日,9,17,,空中客车A300-605R
泰國國際航空261號班機空難,1998年12月11日,45,14,,空中客车A300
瑞士航空111號班機空難,1998年7月14日,0,14,,
大韓航空8702號班機事故,1998年8月5日,25,16,,波音747-4B5
宿務太平洋航空387號班機空難,2014年3月15日,5,,,
中國西南航空4509號班機空難,2013年2月14日,0,11,,波音757-200
土耳其航空5904號班機空難,1999年4月7日,0,6,,波音737-400
全日空61號班機劫機事件,1999年7月23日,0,14,,波音747-481D
小約翰·肯尼迪墜機事件,1999年7月16日,0,1,,
埃及航空990號班機空難,1999年10月31日,0,14,,波音767-366ER
中華航空642號班機空難,2017年10月4日,208,15,,
澳洲航空1號班機事故,1999年9月23日,,19,,空中客车A380
美國航空1420號班機空難,1999年6月1日,110,6,,
大韓航空6316號班機空難,1999年4月15日,5,42,,波音747-200F
大韓航空貨運8509號班機空難,1999年12月22日,4,,,波音747-2B5F
阿根廷私人航空3142号班机空难,1999年8月31日,,5,,
立榮航空873號班機爆炸事件,1999年8月24日,27,6,,
海灣航空72號班機空難,2000年8月23日,0,8,,
武漢航空343號班機空難,2000年6月22日,0,,,波音737
阿拉斯加航空261號班機空難,2000年1月31日,0,5,,波音737
法國航空4590號班機空難,2000年7月25日,9,1,,
新加坡航空006號班機空難,2000年8月5日,71,20,,波音747-412
赫伯罗特航空3378号班机事故,1998年4月1日,8,,,波音767
十字航空498号班机空难,1998年9月9日,0,3,,
埃默里世界航空17号班机空难,2000年2月16日,3,,,
肯雅航空431號班機空難,2000年1月30日,10,10,10,波音737-700
菲鷹航空541號班機空難,2014年3月15日,0,7,,波音737-200
連尼治機場空難,2001年10月8日,,,,
西伯利亞航空1812號班機空難,2014年3月15日,12,,,
聯合航空93號班機恐怖襲擊,2013年11月1日,0,7,,波音757-222
越洋航空236號班機事故,2001年8月24日,73,13,,波音767
中美撞机事件,2001年1月24日,,,,
九一一袭击事件,2017年3月13日,,,,
大韓航空85號班機劫機誤報事件,2001年9月11日,0,15,,波音747-4B5
海參崴航空352號班機空難,2001年7月4日,0,9,,
美國航空77號班機恐怖襲擊,2016年3月13日,6,,125,波音757-223
2001年鞋底炸彈案,2018年10月30日,,,,
美國航空587號班機空難,2015年8月6日,265,9,,空客A300
2001年日本航空班機空中接近事故,2001年1月31日,,100,,波音747-446D
聯合航空175號班機恐怖襲擊,1999年12月8日,0,9,,波音767-222
美國航空11號班機恐怖襲擊,2001年4月8日,11,,366,波音767-223ER
达美航空1989号班机事件,2001年9月11日,0,,,空中客车A320-200
十字航空3597号班机空难,2001年11月24日,9,5,,
中華航空611號班機空難,2008年7月7日,19,,,波音747-209B
西北航空85号班机事故,2002年10月9日,0,18,,波音747-400
行政航空4226號班機空難,2014年3月15日,,8,,
中国北方航空6136号班机空难,2002年5月7日,128,9,38,波音737-500
復興航空791號班機空難,2012年9月30日,2,92,,
2002年米蘭飛機撞樓事件,2002年4月18日,60,1,,
伊朗空旅航空956號班機空難,2014年3月15日,0,12,,
厄瓜多爾航空120號班機空難,2002年1月28日,0,7,,波音727-100
2002年乌克兰航展事故,2002年7月27日,,543,,
中国国际航空129号班机空难,2002年4月15日,37,11,37,波音767-2J6ER
于伯林根空难,2019年2月11日,9,,,波音757
N844AA飞机失踪事件,2003年5月25日,,,,波音727-223
2003年伊朗陸軍航空兵部隊伊爾-76墜毀事件,2003年2月19日,18,,,
政府飛行服務隊B-HRX墜毀事故,2003年8月26日,0,2,,
幾內亞聯合航空141號班機空難,2015年12月11日,,10,,波音727-223
蘇丹航空139號班機空難,2003年7月8日,0,11,,波音737-200C
土耳其航空634號班機空難,2003年1月8日,5,,,
阿爾及利亞航空6289號班機空難,2003年3月6日,1,6,,波音737
DHL貨機巴格達遇襲事件,2003年11月22日,0,3,4,
中西航空5481號班機空難,2003年1月8日,21,2,,波音747
哥伦比亚号航天飞机灾难,2011年12月12日,,,,
烏克蘭地中海航空4230號班機空難,2003年5月26日,0,13,,
联邦快递647号班机空难,2003年12月18日,2,,,麦道DC-10-30F
秘魯國營航空222號班機空難,2003年1月9日,0,5,,
太陽神航空522號班機空難,2005年3月31日,0,6,,波音737-31S
秘魯國營航空204號班機空難,2015年12月13日,58,7,,波音737-244Adv
贝尔韦尤航空210号班机空难,2013年8月14日,0,6,,波音737-200
西南航空1248號班機事故,2005年12月8日,12,5,,波音737-7H4
2005年英國皇家空軍C-130運輸機擊落事件,2006年7月17日,,8,,
卡姆航空904號班機空難,2015年12月11日,8,,,波音737-200
西加勒比海航空708号班机空难,2005年7月27日,0,8,,麦道MD-82
捷藍航空292號班機事故,2005年9月21日,0,6,,
法國航空358號班機事故,2005年8月2日,43,12,,
曼達拉航空091號班機空難,2005年9月5日,,5,,波音737-230Adv
2005年波士頓洛根機場跑道入侵事故,2005年6月9日,,,,空客A330-300
突尼西亞國際航空1153號班機空難,2018年11月9日,23,4,,
卓克斯海洋航空101號班機空難,2015年12月11日,20,2,,
英國航空268號班機事故,2012年2月24日,18,,0,波音747-436
加拿大越洋航空961號班機事故,2005年3月6日,18,9,,
安徽广德6·3空难,2006年6月3日,,,,空中客车A320-111
普爾科沃航空612號班機空難,2006年8月22日,0,10,,
2006年跨大西洋航機恐怖襲擊陰謀,2006年8月10日,,,,
2006年紐約市小型飛機墜毀事故,2006年10月11日,,2,,
遠東航空306號班機事故,2006年11月16日,,20,,波音757
西伯利亞航空778號班機空難,2006年7月9日,79,10,79,
亞美尼亞航空967號班機空難,2015年12月11日,8,,,
戈爾航空1907號班機空難,2006年9月29日,,,41,波音737-8EH
