Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,5N-SRI,Dana Air,4-Aug-08,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N376MS,Frontera Flight Holdings,26-Mar-18,Stored
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-,Aeronaves TSM,Due,Planned
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N836RA,Falcon Air Express,31 Aug 2013(May 2009),Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N993JM,Jet Midwest Group,5-Aug-11,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N948AS,USA Jet Airlines,22-Dec-10,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N949NS,USA Jet Airlines,31-Dec-09,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,LV-AYD,Andes Líneas Aéreas,Aug-12,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N950NS,Erickson Aero Tanker,17-Sep-14,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YV529T,Perla Airlines,14-Nov-12,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,B-28007,Far Eastern Air Transport,21-Dec-92,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-COC,Bravo Airways,7 Mar 2016(26 Oct 2015),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,SX-BLL,Meelad Air,3 Aug 2009(27 Jun 2008),Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,PK-KAP,Kartika Airlines,15-Aug-09,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-TAS,ATA Airlines,Dec 2012(24 Jan 2011),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,SX-IFA,Amjet Executive,Oct-10,Stored
