Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YV2990,Aserca Airlines,18-Feb-14,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9615W,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9616G,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9617R,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9618A,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9619V,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9620D,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,B-28025,Far Eastern Air Transport,16-Jan-98,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,B-28027,Far Eastern Air Transport,27-Feb-98,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9621A,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9622A,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9624T,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9625W,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9626F,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-TAO,ATA Airlines,Mar 2019(25 Feb 2017),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9628W,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9629H,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N961TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N962TW,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N963TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N964TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N965TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N966TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N967TW,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N968TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N969TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N970TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N971TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N972TW,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-CAS,Caspian Airlines,Mar 2017( 1 Mar 2016),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,P4-MDH,InselAir Aruba,25-Nov-14,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-CQC,ATA Airlines,20-Mar-17,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-,ATA Airlines,Due (20 Mar 2017),Planned
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N976TW,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9677W,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N978TW,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N979TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N980TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9681B,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N982TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N983TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N984TW,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Transwede Airways,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Biman Bangladesh Airlines,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Transwede Airways,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Biman Bangladesh Airlines,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Cal Air International,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Maersk Air,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Biman Bangladesh Airlines,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Maersk Air,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Maersk Air,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Maersk Air,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Maersk Air,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Maersk Air,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Maersk Air,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,German Wings,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,German Wings,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,German Wings,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,German Wings,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,McDonnell Douglas,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Aero Lloyd,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Aero Lloyd,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Aero Lloyd,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Aero Lloyd,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Aero Lloyd,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Aero Lloyd,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,British Island Airways,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,British Island Airways,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Guinness Peat Aviation (GPA),,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,British Island Airways,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Guinness Peat Aviation (GPA),,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Guinness Peat Aviation (GPA),,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Guinness Peat Aviation (GPA),,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Guinness Peat Aviation (GPA),,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Transwede Airways,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Guinness Peat Aviation (GPA),,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,Cal Air International,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
Airbus A310-222(F),Airbus,N450FE,Federal Express (FedEx),21-Feb-97,Stored
Airbus A310-203,Airbus,TC-JYK,Cyprus Turkish Airlines (KTHY),21-Dec-94,Scrapped
Airbus A310-203(F),Airbus,N401FE,Federal Express (FedEx),27-Jan-95,Scrapped
Airbus A310-203(F),Airbus,N402FE,Federal Express (FedEx),11-Mar-95,Stored
Airbus A310-222(F),Airbus,N449FE,Federal Express (FedEx),23-Jul-97,Scrapped
Airbus A310-222(F),Airbus,N446FE,Federal Express (FedEx),Oct-95,Scrapped
Airbus A310-203(F),Airbus,N403FE,Federal Express (FedEx),13-Apr-95,Stored
Airbus A310-203(F),Airbus,N404FE,Federal Express (FedEx),12-May-95,Scrapped
Airbus A310-203(F),Airbus,N405FE,Federal Express (FedEx),7-Jul-95,Stored
Airbus A310-203(F),Airbus,N424FE,Federal Express (FedEx),23-Oct-96,Scrapped
Airbus A310-203(F),Airbus,N426FE,Federal Express (FedEx),12-Jul-96,Stored
Airbus A310-203(F),Airbus,N428FE,Federal Express (FedEx),3-Aug-97,Stored
Airbus A310-222(F),Airbus,N447FE,Federal Express (FedEx),19-Mar-96,Stored
Airbus A310-203(F),Airbus,N407FE,Federal Express (FedEx),18-Jul-94,Scrapped
Airbus A310-203(F),Airbus,N408FE,Federal Express (FedEx),5-Aug-95,Scrapped
Airbus A310-222(F),Airbus,N448FE,Federal Express (FedEx),31-May-96,Scrapped
Airbus A310-203(F),Airbus,N425FE,Federal Express (FedEx),1-Jul-96,Stored
Airbus A310-222(F),Airbus,N453FE,Federal Express (FedEx),26-Aug-99,Stored
Airbus A310-221,Airbus,5N-AUE,Nigeria Airways,14-Dec-84,Scrapped
Airbus A310-203(F),Airbus,N409FE,Federal Express (FedEx),15-Sep-94,Scrapped
Airbus A310-222,Airbus,F-OGYW,Armenian Airlines,6-Jul-98,Scrapped
Airbus A310-222(F),Airbus,N454FE,Federal Express (FedEx),15-Oct-99,Stored
Airbus A310-203(F),Airbus,N423FE,Federal Express (FedEx),2-Nov-95,Stored
Airbus A310-203(F),Airbus,N443FE,Federal Express (FedEx),23-Oct-97,Stored
Airbus A310-221,Airbus,5N-AUF,Nigeria Airways,14-Dec-84,Scrapped
Airbus A310-222(F),Airbus,N416FE,Federal Express (FedEx),7-Jun-95,Stored
Airbus A310-203,Airbus,7T-VJC,Air Algérie,31-Aug-84,Scrapped
Airbus A310-203,Airbus,7T-VJD,Air Algérie,20-Dec-84,Scrapped
Airbus A310-203,Airbus,TS-IGU,Libyan Airlines,15 Sep 2002(Aug 1986),Stored
Airbus A310-203(F),Airbus,N445FE,Federal Express (FedEx),14-Sep-98,Stored
Airbus A310-203,Airbus,F-WQTE,Airbus Financial Services (AFS),Dec-03,Scrapped
Airbus A310-222(F),Airbus,N451FE,Federal Express (FedEx),7-Apr-98,Scrapped
Airbus A310-203,Airbus,TS-IGV,Libyan Airlines,15 Sep 2002(Aug 1986),Stored
Airbus A310-203,Airbus,N409AT,AeroTurbine,17-May-05,Scrapped
Airbus A310-222,Airbus,B-2301,China Eastern Airlines,31 Aug 2003( 1 May 1988),Preserved
Airbus A310-222(F),Airbus,N452FE,Federal Express (FedEx),19-Feb-97,Scrapped
Airbus A310-203(F),Airbus,N431FE,Federal Express (FedEx),3 Oct 2003(Apr 2002),Stored
Airbus A310-222(F),Airbus,N456FE,Federal Express (FedEx),20-Feb-01,Stored
Airbus A310-222,Airbus,XY-AGE,Air Bagan,16-Jan-07,Stored
Airbus A310-203(F),Airbus,N432FE,Federal Express (FedEx),11-Apr-02,Scrapped
Airbus A310-221,Airbus,5N-AUG,Nigeria Airways,14-Dec-84,Preserved
Airbus A310-222(F),Airbus,N455FE,Federal Express (FedEx),29 Jan 2003(21 Sep 2000),Stored
Airbus A310-222(F),Airbus,N417FE,Federal Express (FedEx),25-Aug-95,Stored
Airbus A310-203(F),Airbus,N433FE,Federal Express (FedEx),17-Jan-02,Scrapped
Airbus A310-203,Airbus,EP-IBM,Iran Air,23-May-01,Stored
Airbus A310-222(F),Airbus,N420FE,Federal Express (FedEx),7-Sep-95,Scrapped
Airbus A310-221,Airbus,5N-AUH,Nigeria Airways,14-Dec-84,Scrapped
Airbus A310-222(F),Airbus,N421FE,Federal Express (FedEx),5-Apr-95,Stored
Airbus A310-222(F),Airbus,N418FE,Federal Express (FedEx),13-Jul-95,Stored
Airbus A310-222(F),Airbus,N419FE,Federal Express (FedEx),24-Oct-95,Stored
Airbus A310-222(F),Airbus,N422FE,Federal Express (FedEx),10-Oct-95,Scrapped
Airbus A310-222,Airbus,3B-STI,MEA - Middle East Airlines,Jul-97,Scrapped
Airbus A310-203(F),Airbus,N415FE,Federal Express (FedEx),29-Apr-96,Scrapped
Airbus A310-222,Airbus,3B-STJ,MEA - Middle East Airlines,7-Oct-97,Scrapped
Airbus A310-203,Airbus,N452AT,AeroTurbine,17-May-05,Scrapped
Airbus A310-203(F),Airbus,N442FE,Federal Express (FedEx),15-Oct-96,Scrapped
Airbus A310-203(F),Airbus,N434FE,Federal Express (FedEx),14-Dec-04,Scrapped
Airbus A310-203(F),Airbus,N410FE,Federal Express (FedEx),7-Jun-95,Stored
Airbus A310-222,Airbus,JY-JAV,Jordan Aviation,2010(28 Jul 2003),Stored
Airbus A310-203(F),Airbus,N411FE,Federal Express (FedEx),5-Jan-95,Stored
Airbus A310-203(F),Airbus,N412FE,Federal Express (FedEx),10-Nov-94,Scrapped
Airbus A310-203(F),Airbus,N427FE,Federal Express (FedEx),12-Nov-96,Stored
Airbus A310-222,Airbus,D-ASQA,Hapag-Lloyd,16-Jun-00,Scrapped
Airbus A310-203(F),Airbus,N429FE,Federal Express (FedEx),16-Apr-97,Stored
Airbus A310-222,Airbus,N461VA,Southern Aircraft Consultancy,10-Jan-12,Scrapped
Airbus A310-203(F),Airbus,N435FE,Federal Express (FedEx),20-Feb-02,Stored
Airbus A310-203,Airbus,EP-IBP,Iran Air,25-Dec-01,Scrapped
Airbus A310-222,Airbus,N461WA,Southern Aircraft Consultancy,10-Jan-12,Scrapped
Airbus A310-203,Airbus,EP-IBN,Iran Air,2-Jun-01,Stored
Airbus A310-203,Airbus,EP-IBO,Iran Air,2-Aug-01,Scrapped
Airbus A310-203,Airbus,TC-JCO,Turkish Airlines,20 Aug 2005(26 Jun 1985),Scrapped
Airbus A310-203,Airbus,EP-IBQ,Iran Air,Sep-01,Stored
Airbus A310-203,Airbus,EP-IBX,Iran Air,28-May-01,Scrapped
Airbus A310-203(F),Airbus,N430FE,Federal Express (FedEx),25-Jan-97,Stored
Airbus A310-203(F),Airbus,N413FE,Federal Express (FedEx),26-Aug-94,Stored
Airbus A310-203(F),Airbus,N414FE,Federal Express (FedEx),19-Oct-94,Scrapped
Airbus A310-204,Airbus,HS-TIA,Thai Airways International,1-Apr-88,Written Off
Airbus A310-222,Airbus,HS-PCC,PC Air,12-Oct-11,Stored
Airbus A310-204,Airbus,G-BZTB,Cabot Aviation Ltd.,8-Mar-01,Scrapped
Airbus A310-204,Airbus,VP-BTK,S7 - Siberia Airlines,30-Mar-06,Scrapped
Airbus A310-204,Airbus,VP-BSY,S7 - Siberia Airlines,24-May-05,Scrapped
Airbus A310-203(F),Airbus,N436FE,Federal Express (FedEx),10-Jul-02,Stored
Airbus A310-204,Airbus,VP-BSZ,S7 - Siberia Airlines,9-Jun-05,Scrapped
Airbus A310-204,Airbus,VP-BTM,S7 - Siberia Airlines,5-Jul-06,Scrapped
Airbus A310-204,Airbus,VP-BTL,S7 - Siberia Airlines,8-Jun-06,Stored
British Aerospace 146-301ARA,British-Aerospace,G-LUXE,Natural Environment Research Council,16-Apr-14,Active
British Aerospace 146-100QT,British-Aerospace,VH-NJV,National Jet Express,22-Oct-09,Stored
British Aerospace 146-100A,British-Aerospace,VH-NJX,National Jet Express,2-Nov-09,Scrapped
British Aerospace 146-100,British-Aerospace,VH-NJA,National Jet Systems,Aug 2002(31 May 1998),Scrapped
British Aerospace 146-100,British-Aerospace,RP-C2994,Asian Spirit,23-Nov-05,Stored
British Aerospace 146-100,British-Aerospace,G-OFOA,Formula One Management,27-Feb-98,Stored
British Aerospace 146-100A,British-Aerospace,EC-GEO,Paukn Air,19 Dec 1995(22 Sep 1995),Written Off
British Aerospace 146-100,British-Aerospace,PK-VTM,Manunggal Air Services,13-Nov-08,Active
British Aerospace 146-100,British-Aerospace,G-JEAO,British European Airways,Jun-00,Preserved
British Aerospace 146-100,British-Aerospace,D-AWDL,WDL Aviation,Sep 2008(30 Jun 1998),Scrapped
British Aerospace 146-100A,British-Aerospace,VH-NJC,Cobham Aviation,2-Nov-09,Scrapped
British Aerospace 146-100A,British-Aerospace,RP-C8538,SkyJet Airlines,Feb-14,Stored
British Aerospace 146-100A,British-Aerospace,G-BLRA,BAe Systems,2-Mar-00,Scrapped
British Aerospace 146-100,British-Aerospace,B-2701,China Eastern Airlines,Mar-03,Preserved
British Aerospace 146-100 Statesman,British-Aerospace,ZE700,Royal Air Force,31 Jul 1998(23 Apr 1986),Active
British Aerospace 146-100,British-Aerospace,B-2702,China Eastern Airlines,Mar-03,Stored
British Aerospace 146-100 Statesman,British-Aerospace,ZE701,Royal Air Force,Apr 1999( 9 Jul 1986),Active
British Aerospace 146-100,British-Aerospace,B-2703,China Eastern Airlines,Mar-03,Stored
British Aerospace 146-100,British-Aerospace,G-JEAU,Flybe,2-Dec-05,Scrapped
British Aerospace 146-100A,British-Aerospace,C-GPBJ,Regional 1,17-May-05,Scrapped
British Aerospace 146-100,British-Aerospace,N114M,Tronos,25-Sep-18,Stored
British Aerospace 146-100,British-Aerospace,G-JEAT,Flybe,18-Jul-02,Scrapped
British Aerospace 146-100,British-Aerospace,FAB-098,Fuerza Aérea Boliviana,9-Nov-06,Scrapped
British Aerospace 146-100,British-Aerospace,FAB-099,Fuerza Aérea Boliviana,23-Jan-07,Stored
British Aerospace 146-100,British-Aerospace,G-CCXY,Avtrade Leasing,21-Jul-04,Scrapped
British Aerospace 146-100,British-Aerospace,ZA-MAK,Albanian Airlines,10 Jan 2010(25 Feb 2004),Stored
British Aerospace 146-100,British-Aerospace,A6-SHK,United Arab Emirates Government,20-Dec-88,Scrapped
British Aerospace 146-100,British-Aerospace,OB-1879-P,Star Peru,5-Dec-09,Stored
British Aerospace 146-100,British-Aerospace,A2-ABD,Air Botswana,9-Nov-89,Stored
British Aerospace 146-100,British-Aerospace,RP-C5255,SkyJet Airlines,Oct-15,Active
British Aerospace 146-100 Statesman,British-Aerospace,PK-TNV,TransNusa,Jul-15,Active
British Aerospace 146-100,British-Aerospace,G-OFOM,Formula One Management,16-Mar-00,Active
British Aerospace 146-100,British-Aerospace,VH-NJR,Cobham Aviation,7-Jan-11,Active
British Aerospace 146-100,British-Aerospace,A2-ABF,Air Botswana,13 May 2011(24 Jan 1991),Stored
British Aerospace 146-100,British-Aerospace,OB-1877-P,Star Peru,17-Apr-08,Stored
British Aerospace 146-301ARA,British-Aerospace,G-LUXE,Natural Environment Research Council,16-Apr-14,Active
British Aerospace 146-100QT,British-Aerospace,VH-NJV,National Jet Express,22-Oct-09,Stored
British Aerospace 146-100A,British-Aerospace,VH-NJX,National Jet Express,2-Nov-09,Scrapped
British Aerospace 146-100,British-Aerospace,VH-NJA,National Jet Systems,Aug 2002(31 May 1998),Scrapped
British Aerospace 146-100,British-Aerospace,RP-C2994,Asian Spirit,23-Nov-05,Stored
British Aerospace 146-100,British-Aerospace,G-OFOA,Formula One Management,27-Feb-98,Stored
British Aerospace 146-100A,British-Aerospace,EC-GEO,Paukn Air,19 Dec 1995(22 Sep 1995),Written Off
British Aerospace 146-100,British-Aerospace,PK-VTM,Manunggal Air Services,13-Nov-08,Active
British Aerospace 146-100,British-Aerospace,G-JEAO,British European Airways,Jun-00,Preserved
British Aerospace 146-100,British-Aerospace,D-AWDL,WDL Aviation,Sep 2008(30 Jun 1998),Scrapped
British Aerospace 146-100A,British-Aerospace,VH-NJC,Cobham Aviation,2-Nov-09,Scrapped
British Aerospace 146-100A,British-Aerospace,RP-C8538,SkyJet Airlines,Feb-14,Stored
British Aerospace 146-100A,British-Aerospace,G-BLRA,BAe Systems,2-Mar-00,Scrapped
British Aerospace 146-100,British-Aerospace,B-2701,China Eastern Airlines,Mar-03,Preserved
British Aerospace 146-100 Statesman,British-Aerospace,ZE700,Royal Air Force,31 Jul 1998(23 Apr 1986),Active
British Aerospace 146-100,British-Aerospace,B-2702,China Eastern Airlines,Mar-03,Stored
British Aerospace 146-100 Statesman,British-Aerospace,ZE701,Royal Air Force,Apr 1999( 9 Jul 1986),Active
British Aerospace 146-100,British-Aerospace,B-2703,China Eastern Airlines,Mar-03,Stored
British Aerospace 146-100,British-Aerospace,G-JEAU,Flybe,2-Dec-05,Scrapped
British Aerospace 146-100A,British-Aerospace,C-GPBJ,Regional 1,17-May-05,Scrapped
British Aerospace 146-100,British-Aerospace,N114M,Tronos,25-Sep-18,Stored
British Aerospace 146-100,British-Aerospace,G-JEAT,Flybe,18-Jul-02,Scrapped
British Aerospace 146-100,British-Aerospace,FAB-098,Fuerza Aérea Boliviana,9-Nov-06,Scrapped
British Aerospace 146-100,British-Aerospace,FAB-099,Fuerza Aérea Boliviana,23-Jan-07,Stored
British Aerospace 146-100,British-Aerospace,G-CCXY,Avtrade Leasing,21-Jul-04,Scrapped
British Aerospace 146-100,British-Aerospace,ZA-MAK,Albanian Airlines,10 Jan 2010(25 Feb 2004),Stored
British Aerospace 146-100,British-Aerospace,A6-SHK,United Arab Emirates Government,20-Dec-88,Scrapped
British Aerospace 146-100,British-Aerospace,OB-1879-P,Star Peru,5-Dec-09,Stored
British Aerospace 146-100,British-Aerospace,A2-ABD,Air Botswana,9-Nov-89,Stored
British Aerospace 146-100,British-Aerospace,RP-C5255,SkyJet Airlines,Oct-15,Active
British Aerospace 146-100 Statesman,British-Aerospace,PK-TNV,TransNusa,Jul-15,Active
